timestamp_epoch,datetime_iso,location_id,location_name,frame_id,track_id,golongan,vehicle_subclass,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,pixel_center_x,pixel_center_y,ground_x_meter,ground_y_meter,length_meter,width_meter,speed_kmh,aspect_ratio,helmet_status,compliance_status,status
1789814928.228,2026-09-19 17:48:48.228,312,Underpass Unila Arah Rajabasa,1,2765,Golongan I,Sedan/Jip/Pick-up,0.782,649,544,844,720,746.7,632.4,7.2,35.16,5.5,3.5,0.0,1.11,N/A,NORMAL,NORMAL
1789814928.228,2026-09-19 17:48:48.228,312,Underpass Unila Arah Rajabasa,1,2771,Golongan I,Sedan/Jip/Pick-up,0.599,435,321,553,458,494.9,390.0,5.17,29.4,7.89,3.5,0.0,0.86,N/A,NORMAL,NORMAL
1789814928.49,2026-09-19 17:48:48.489,312,Underpass Unila Arah Rajabasa,2,2765,Golongan I,Sedan/Jip/Pick-up,0.828,643,537,847,720,745.3,628.7,7.17,35.16,5.83,3.5,0.0,1.12,N/A,NORMAL,NORMAL
1789814928.49,2026-09-19 17:48:48.489,312,Underpass Unila Arah Rajabasa,2,2771,Golongan I,Sedan/Jip/Pick-up,0.627,432,322,543,451,488.0,386.9,5.09,29.19,7.39,3.5,0.0,0.87,N/A,NORMAL,NORMAL
1789814928.49,2026-09-19 17:48:48.489,312,Underpass Unila Arah Rajabasa,2,2835,Golongan I,Sedan/Jip/Pick-up,0.405,283,105,324,150,303.8,128.0,3.66,8.47,10.97,3.5,0.0,0.9,N/A,NORMAL,NORMAL
1789814928.49,2026-09-19 17:48:48.489,312,Underpass Unila Arah Rajabasa,2,2836,Golongan I,Sedan/Jip/Pick-up,0.423,332,164,395,241,363.8,203.3,4.51,18.24,11.39,3.5,0.0,0.81,N/A,NORMAL,NORMAL
1789814928.737,2026-09-19 17:48:48.736,312,Underpass Unila Arah Rajabasa,3,2765,Golongan I,Sedan/Jip/Pick-up,0.816,645,537,850,720,748.2,628.7,7.22,35.16,5.87,3.5,0.2,1.12,N/A,NORMAL,NORMAL
1789814928.737,2026-09-19 17:48:48.736,312,Underpass Unila Arah Rajabasa,3,2771,Golongan I,Sedan/Jip/Pick-up,0.636,432,325,543,452,487.8,388.8,5.07,29.24,7.18,3.5,1.3,0.88,N/A,NORMAL,NORMAL
1789814928.737,2026-09-19 17:48:48.736,312,Underpass Unila Arah Rajabasa,3,2835,Golongan I,Sedan/Jip/Pick-up,0.43,284,107,323,151,304.1,129.3,3.67,8.53,10.52,3.5,0.0,0.9,N/A,NORMAL,NORMAL
1789814928.737,2026-09-19 17:48:48.736,312,Underpass Unila Arah Rajabasa,3,2836,Golongan I,Sedan/Jip/Pick-up,0.268,336,172,393,242,365.2,207.8,4.54,18.34,9.88,3.5,0.0,0.82,N/A,NORMAL,NORMAL
1789814928.923,2026-09-19 17:48:48.922,312,Underpass Unila Arah Rajabasa,4,2765,Golongan I,Sedan/Jip/Pick-up,0.69,652,541,854,720,753.2,630.8,7.32,35.16,5.75,3.5,0.4,1.13,N/A,NORMAL,NORMAL
