timestamp_epoch,datetime_iso,location_id,location_name,frame_id,track_id,golongan,vehicle_subclass,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,pixel_center_x,pixel_center_y,ground_x_meter,ground_y_meter,length_meter,width_meter,speed_kmh,aspect_ratio,helmet_status,compliance_status,status
1789756753.494,2026-09-19 01:39:13.494,282,Perempatan Jl. Jendral Sudirman,1,2,Golongan VI-B,Sepeda Motor (Tanpa Helm),0.347,494,182,572,228,533.3,205.3,5.14,3.48,4.26,2.41,0.0,1.69,TANPA_HELM,MELANGGAR,PELANGGARAN_HELM
1789756753.938,2026-09-19 01:39:13.937,282,Perempatan Jl. Jendral Sudirman,2,2,Golongan VI-B,Sepeda Motor (Tanpa Helm),0.383,487,183,565,229,526.3,206.8,4.95,3.62,4.25,2.41,0.0,1.69,TANPA_HELM,MELANGGAR,PELANGGARAN_HELM
1789756754.065,2026-09-19 01:39:14.064,282,Perempatan Jl. Jendral Sudirman,3,2,Golongan VI-B,Sepeda Motor (Tanpa Helm),0.356,481,184,557,229,519.7,207.2,4.75,3.6,4.15,2.34,2.6,1.69,TANPA_HELM,MELANGGAR,PELANGGARAN_HELM
1789756754.184,2026-09-19 01:39:14.183,282,Perempatan Jl. Jendral Sudirman,4,2,Golongan VI-B,Sepeda Motor (Tanpa Helm),0.265,472,183,552,230,512.2,207.0,4.54,3.68,4.34,2.47,2.9,1.69,TANPA_HELM,MELANGGAR,PELANGGARAN_HELM
1789756755.63,2026-09-19 01:39:15.630,282,Perempatan Jl. Jendral Sudirman,16,6,Golongan I,Sedan/Jip/Pick-up,0.409,387,192,443,235,415.6,214.4,1.73,4.13,3.91,1.71,0.0,1.28,N/A,NORMAL,NORMAL
1789756755.708,2026-09-19 01:39:15.708,282,Perempatan Jl. Jendral Sudirman,17,6,Golongan I,Sedan/Jip/Pick-up,0.46,381,193,436,235,409.0,214.6,1.53,4.13,3.81,1.68,0.0,1.29,N/A,NORMAL,NORMAL
1789756755.781,2026-09-19 01:39:15.780,282,Perempatan Jl. Jendral Sudirman,18,6,Golongan I,Sedan/Jip/Pick-up,0.462,372,193,428,236,400.6,214.6,1.29,4.16,3.9,1.71,10.5,1.29,N/A,NORMAL,NORMAL
1789756755.857,2026-09-19 01:39:15.856,282,Perempatan Jl. Jendral Sudirman,19,6,Golongan I,Sedan/Jip/Pick-up,0.387,366,194,419,236,392.9,215.5,1.06,4.14,3.81,1.61,10.6,1.29,N/A,NORMAL,NORMAL
1789756755.928,2026-09-19 01:39:15.928,282,Perempatan Jl. Jendral Sudirman,20,6,Golongan I,Sedan/Jip/Pick-up,0.28,357,192,413,235,385.2,214.2,0.83,4.14,3.92,1.71,10.7,1.28,N/A,NORMAL,NORMAL
1789756755.928,2026-09-19 01:39:15.928,282,Perempatan Jl. Jendral Sudirman,20,9,Golongan I,Sedan/Jip/Pick-up,0.411,357,189,447,234,402.7,212.4,1.34,4.05,4.12,2.76,0.0,2.0,N/A,NORMAL,NORMAL
1789756756.011,2026-09-19 01:39:16.011,282,Perempatan Jl. Jendral Sudirman,21,6,Golongan I,Sedan/Jip/Pick-up,0.402,353,191,411,236,382.5,214.1,0.76,4.17,4.1,1.77,10.1,1.29,N/A,NORMAL,NORMAL
1789756756.011,2026-09-19 01:39:16.011,282,Perempatan Jl. Jendral Sudirman,21,9,Golongan I,Sedan/Jip/Pick-up,0.343,353,189,441,233,397.7,211.8,1.17,3.96,4.03,2.7,0.0,2.0,N/A,NORMAL,NORMAL
1789756756.095,2026-09-19 01:39:16.094,282,Perempatan Jl. Jendral Sudirman,22,6,Golongan I,Sedan/Jip/Pick-up,0.375,346,193,402,236,374.3,214.7,0.51,4.16,3.91,1.71,9.8,1.29,N/A,NORMAL,NORMAL
1789756756.095,2026-09-19 01:39:16.094,282,Perempatan Jl. Jendral Sudirman,22,9,Golongan I,Sedan/Jip/Pick-up,0.405,344,191,432,235,388.6,213.8,0.93,4.14,4.01,2.69,8.9,1.99,N/A,NORMAL,NORMAL
1789756756.186,2026-09-19 01:39:16.186,282,Perempatan Jl. Jendral Sudirman,23,6,Golongan I,Sedan/Jip/Pick-up,0.285,339,193,393,235,366.6,214.5,0.28,4.12,3.83,1.65,9.6,1.29,N/A,NORMAL,NORMAL
1789756756.186,2026-09-19 01:39:16.186,282,Perempatan Jl. Jendral Sudirman,23,9,Golongan I,Sedan/Jip/Pick-up,0.373,339,191,425,234,383.0,213.4,0.75,4.05,3.93,2.63,8.6,2.0,N/A,NORMAL,NORMAL
1789756756.312,2026-09-19 01:39:16.312,282,Perempatan Jl. Jendral Sudirman,24,6,Golongan I,Sedan/Jip/Pick-up,0.415,333,194,387,236,360.7,215.2,0.12,4.17,3.82,1.64,9.2,1.28,N/A,NORMAL,NORMAL
1789756756.312,2026-09-19 01:39:16.312,282,Perempatan Jl. Jendral Sudirman,24,9,Golongan I,Sedan/Jip/Pick-up,0.357,336,192,418,233,377.7,212.6,0.57,3.9,3.75,2.51,8.1,2.0,N/A,NORMAL,NORMAL
1789756756.438,2026-09-19 01:39:16.438,282,Perempatan Jl. Jendral Sudirman,25,6,Golongan I,Sedan/Jip/Pick-up,0.227,329,196,381,237,355.4,216.9,-0.03,4.23,3.71,1.58,8.7,1.27,N/A,NORMAL,NORMAL
1789756756.438,2026-09-19 01:39:16.438,282,Perempatan Jl. Jendral Sudirman,25,9,Golongan I,Sedan/Jip/Pick-up,0.253,333,192,412,231,372.9,211.6,0.4,3.73,3.58,2.42,7.6,2.01,N/A,NORMAL,NORMAL
1789756756.533,2026-09-19 01:39:16.532,282,Perempatan Jl. Jendral Sudirman,26,9,Golongan I,Sedan/Jip/Pick-up,0.206,341,192,405,223,373.8,207.9,0.32,3.09,2.88,1.97,7.9,2.02,N/A,NORMAL,NORMAL
1789756757.107,2026-09-19 01:39:17.107,282,Perempatan Jl. Jendral Sudirman,32,6,Golongan VI-B,Sepeda Motor (Tanpa Helm),0.377,284,204,328,238,306.1,221.7,-1.46,4.38,3.05,1.33,0.0,1.28,TANPA_HELM,MELANGGAR,PELANGGARAN_HELM
1789756760.100,2026-09-19 01:39:20.100,312,Underpass Unila Arah Rajabasa,45,1,Golongan I,Sedan,0.852,320,180,390,260,355.0,220.0,4.20,1.80,4.50,1.80,42.5,0.88,N/A,NORMAL,NORMAL
1789756760.140,2026-09-19 01:39:20.140,312,Underpass Unila Arah Rajabasa,46,1,Golongan I,Sedan,0.860,325,200,395,280,360.0,240.0,4.30,2.10,4.50,1.80,43.2,0.88,N/A,NORMAL,NORMAL
1789756760.180,2026-09-19 01:39:20.180,312,Underpass Unila Arah Rajabasa,47,1,Golongan I,Sedan,0.871,330,225,400,305,365.0,265.0,4.40,2.50,4.50,1.80,44.1,0.88,N/A,NORMAL,NORMAL
1789756760.220,2026-09-19 01:39:20.220,312,Underpass Unila Arah Rajabasa,48,1,Golongan I,Sedan,0.880,335,255,405,335,370.0,295.0,4.50,3.00,4.50,1.80,45.0,0.88,N/A,NORMAL,NORMAL
1789756760.260,2026-09-19 01:39:20.260,312,Underpass Unila Arah Rajabasa,49,1,Golongan I,Sedan,0.875,340,290,410,370,375.0,330.0,4.60,3.60,4.50,1.80,45.8,0.88,N/A,NORMAL,NORMAL
1789756760.300,2026-09-19 01:39:20.300,312,Underpass Unila Arah Rajabasa,50,1,Golongan I,Sedan,0.892,345,330,415,410,380.0,370.0,4.70,4.30,4.50,1.80,46.2,0.88,N/A,NORMAL,NORMAL
1789756761.100,2026-09-19 01:39:21.100,312,Underpass Unila Arah Rajabasa,55,3,Golongan VI-A,Sepeda Motor (Taat Helm),0.820,280,120,315,190,297.5,155.0,2.10,1.20,2.10,0.80,38.5,0.50,HELM,TAAT_HUKUM,NORMAL
1789756761.140,2026-09-19 01:39:21.140,312,Underpass Unila Arah Rajabasa,56,3,Golongan VI-A,Sepeda Motor (Taat Helm),0.840,285,145,320,215,302.5,180.0,2.20,1.50,2.10,0.80,39.2,0.50,HELM,TAAT_HUKUM,NORMAL
1789756761.180,2026-09-19 01:39:21.180,312,Underpass Unila Arah Rajabasa,57,3,Golongan VI-A,Sepeda Motor (Taat Helm),0.850,290,175,325,245,307.5,210.0,2.30,1.90,2.10,0.80,40.1,0.50,HELM,TAAT_HUKUM,NORMAL
1789756761.220,2026-09-19 01:39:21.220,312,Underpass Unila Arah Rajabasa,58,3,Golongan VI-A,Sepeda Motor (Taat Helm),0.865,295,210,330,280,312.5,245.0,2.40,2.40,2.10,0.80,41.0,0.50,HELM,TAAT_HUKUM,NORMAL
1789756762.000,2026-09-19 01:39:22.000,312,Underpass Unila Arah Rajabasa,65,4,Golongan II,Truk 2 Gandar,0.810,210,100,290,230,250.0,165.0,6.80,2.40,7.20,2.40,36.0,0.62,N/A,NORMAL,NORMAL
1789756762.050,2026-09-19 01:39:22.050,312,Underpass Unila Arah Rajabasa,66,4,Golongan II,Truk 2 Gandar,0.825,220,130,300,260,260.0,195.0,6.90,2.70,7.20,2.40,36.5,0.62,N/A,NORMAL,NORMAL
1789756762.100,2026-09-19 01:39:22.100,312,Underpass Unila Arah Rajabasa,67,4,Golongan II,Truk 2 Gandar,0.830,230,165,310,295,270.0,230.0,7.00,3.10,7.20,2.40,37.1,0.62,N/A,NORMAL,NORMAL
1789806559.175,2026-09-19 15:29:19.175,282,Perempatan Jl. Jendral Sudirman,1,2,Golongan I,Sedan/Jip/Pick-up,0.62,75,217,132,273,104.0,245.7,-6.56,7.17,4.81,1.66,0.0,1.01,N/A,NORMAL,NORMAL
1789806559.175,2026-09-19 15:29:19.175,282,Perempatan Jl. Jendral Sudirman,1,3,Golongan VI-A,Sepeda Motor (Taat Helm),0.59,264,386,327,501,296.1,443.9,1.54,20.36,5.92,1.44,0.0,0.56,HELM,TAAT_HUKUM,NORMAL
1789806559.175,2026-09-19 15:29:19.175,282,Perempatan Jl. Jendral Sudirman,1,5,Golongan VI-A,Sepeda Motor (Taat Helm),0.554,633,214,701,283,667.8,249.1,9.25,7.9,5.62,1.98,0.0,0.98,HELM,TAAT_HUKUM,NORMAL
1789806559.175,2026-09-19 15:29:19.175,282,Perempatan Jl. Jendral Sudirman,1,6,Golongan VI-A,Sepeda Motor (Taat Helm),0.514,238,425,361,524,299.9,475.1,1.83,21.4,4.76,2.72,0.0,1.24,HELM,TAAT_HUKUM,NORMAL
