incident_id,timestamp_epoch,datetime_iso,location_id,location_name,incident_type,severity,involved_track_ids,golongan_types,speed_kmh,location_description,title,description
ALT-0001,1789815997.627,2026-09-19 18:06:37.627,282,Perempatan Jl. Jendral Sudirman,TABRAKAN,CRITICAL,4034;4028,Golongan I;Golongan I,0.0,Perempatan Jl. Jendral Sudirman,KECELAKAAN: Tabrakan Antar Kendaraan (#4034 & #4028),Terjadi benturan/tabrakan antara Sedan/Jip/Pick-up #4034 dan Sedan/Jip/Pick-up #4028.
ALT-0002,1789816006.123,2026-09-19 18:06:46.122,282,Perempatan Jl. Jendral Sudirman,KENDARAAN_BERHENTI,WARNING,4033,Golongan I,0.2,Perempatan Jl. Jendral Sudirman,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #4033),Sedan/Jip/Pick-up #4033 terhenti di jalur underpass selama 3.1 detik.
ALT-0003,1789816012.865,2026-09-19 18:06:52.865,282,Perempatan Jl. Jendral Sudirman,KENDARAAN_BERHENTI,WARNING,4046,Golongan I,0.0,Perempatan Jl. Jendral Sudirman,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #4046),Sedan/Jip/Pick-up #4046 terhenti di jalur underpass selama 3.4 detik.
ALT-0004,1789816025.515,2026-09-19 18:07:05.515,282,Perempatan Jl. Jendral Sudirman,KENDARAAN_BERHENTI,WARNING,4062,Golongan I,2.9,Perempatan Jl. Jendral Sudirman,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #4062),Sedan/Jip/Pick-up #4062 terhenti di jalur underpass selama 3.2 detik.
ALT-0001,1789817795.73,2026-09-19 18:36:35.729,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5000,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5000),Sepeda motor #5000 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0002,1789817798.002,2026-09-19 18:36:38.001,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4096,Golongan I,0.0,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4096),Sedan/Jip/Pick-up #4096 melaju ke atas melawan arus lajur masuk underpass.
ALT-0003,1789817801.008,2026-09-19 18:36:41.007,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,4103,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #4103),Sedan/Jip/Pick-up #4103 terhenti di jalur underpass selama 3.7 detik.
ALT-0004,1789817801.846,2026-09-19 18:36:41.845,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4104,Golongan I,7.8,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4104),Sedan/Jip/Pick-up #4104 melaju ke atas melawan arus lajur masuk underpass.
ALT-0005,1789817811.153,2026-09-19 18:36:51.152,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4120,Golongan I,0.0,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4120),Sedan/Jip/Pick-up #4120 melaju ke atas melawan arus lajur masuk underpass.
ALT-0006,1789817814.063,2026-09-19 18:36:54.063,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4125,Golongan I,10.6,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4125),Sedan/Jip/Pick-up #4125 melaju ke atas melawan arus lajur masuk underpass.
ALT-0007,1789817821.286,2026-09-19 18:37:01.285,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5018,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5018),Sepeda motor #5018 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0008,1789817827.665,2026-09-19 18:37:07.664,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,5023,Golongan VI-A,16.7,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sepeda Motor (Taat Helm) #5023),Sepeda Motor (Taat Helm) #5023 melaju ke atas melawan arus lajur masuk underpass.
ALT-0009,1789817832.229,2026-09-19 18:37:12.228,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5027,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5027),Sepeda motor #5027 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0010,1789817846.887,2026-09-19 18:37:26.886,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4169,Golongan I,9.7,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4169),Sedan/Jip/Pick-up #4169 melaju ke atas melawan arus lajur masuk underpass.
ALT-0001,1789817910.737,2026-09-19 18:38:30.737,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5001,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5001),Sepeda motor #5001 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0002,1789817910.903,2026-09-19 18:38:30.902,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5003,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5003),Sepeda motor #5003 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0003,1789817913.937,2026-09-19 18:38:33.936,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4257,Golongan I,3.7,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4257),Sedan/Jip/Pick-up #4257 melaju ke atas melawan arus lajur masuk underpass.
ALT-0004,1789817914.376,2026-09-19 18:38:34.375,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5008,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5008),Sepeda motor #5008 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0005,1789817918.116,2026-09-19 18:38:38.115,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4318,Golongan I,13.3,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4318),Sedan/Jip/Pick-up #4318 melaju ke atas melawan arus lajur masuk underpass.
ALT-0006,1789817918.285,2026-09-19 18:38:38.285,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4302,Golongan I,0.0,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4302),Sedan/Jip/Pick-up #4302 melaju ke atas melawan arus lajur masuk underpass.
ALT-0007,1789817922.011,2026-09-19 18:38:42.010,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4344,Golongan I,11.8,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4344),Sedan/Jip/Pick-up #4344 melaju ke atas melawan arus lajur masuk underpass.
ALT-0008,1789817922.341,2026-09-19 18:38:42.340,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4347,Golongan I,8.6,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4347),Sedan/Jip/Pick-up #4347 melaju ke atas melawan arus lajur masuk underpass.
ALT-0009,1789817924.087,2026-09-19 18:38:44.087,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4370,Golongan I,3.7,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4370),Sedan/Jip/Pick-up #4370 melaju ke atas melawan arus lajur masuk underpass.
ALT-0010,1789817924.357,2026-09-19 18:38:44.356,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5022,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5022),Sepeda motor #5022 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0011,1789817924.357,2026-09-19 18:38:44.356,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5025,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5025),Sepeda motor #5025 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0012,1789817930.327,2026-09-19 18:38:50.327,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4450,Golongan I,0.0,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4450),Sedan/Jip/Pick-up #4450 melaju ke atas melawan arus lajur masuk underpass.
ALT-0013,1789817931.187,2026-09-19 18:38:51.186,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,4477,Golongan I,11.8,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #4477),Sedan/Jip/Pick-up #4477 melaju ke atas melawan arus lajur masuk underpass.
